,initialize_data,initialize_simulation_iterations,initialize_graph_state,color_mapping,initialize_nx_graph,generate_starting_elements,generate_table
0,0.0015003681182861328,0.0,0.25704431533813477,0.0,0.6371114253997803,0.029004573822021484,0.06501126289367676
1,0.0025000572204589844,0.0,0.5445952415466309,0.0,1.8603239059448242,0.02800583839416504,0.1500253677368164
2,0.0045013427734375,0.0,0.9146590232849121,0.0,3.760246992111206,0.04150748252868652,0.2720472812652588
3,0.0055010318756103516,0.0,1.3571035861968994,0.0,6.240089654922485,0.08051371574401855,0.4280741214752197
4,0.007001638412475586,0.0,1.893329381942749,0.0,9.527161359786987,0.07201242446899414,0.6246092319488525
5,0.008502006530761719,0.0,2.3949172496795654,0.0,13.02296495437622,0.08651590347290039,0.8281445503234863
6,0.010001659393310547,0.0,3.0605340003967285,0.0,17.265025854110718,0.12952232360839844,1.0766875743865967
7,0.011502504348754883,0.0,3.7291624546051025,0.0005002021789550781,22.59293031692505,0.16302847862243652,1.3362336158752441
8,0.012501955032348633,0.0,4.435273170471191,0.0,28.029356002807617,0.17403006553649902,1.6542887687683105
9,0.014001607894897461,0.0,5.308268070220947,0.0,33.887749433517456,0.16452741622924805,2.0508575439453125
